sample_id,line,site,lot,design,alloy,d_cond_mm,insulation,foaming,d_ins_mm,line_speed_m_min,screw_rpm,capstan_d_m,gauge_mean_mm,gauge_std_mm,gauge_period_m,gauge_ripple_um,a_true,b_true,c_true,z_true,k_prox_true,lot_td_factor,a_meas,b_meas,c_meas,sigma_a,sigma_b,z_meas,ripple_period_m,ripple_amp_ohm,il600_db_per_m,rl_min_db
S0000,L1,Roth,LOT2026000,D100-PE-035,Cu-ETP,0.5000049206134299,PE,0.3089623661252541,0.8422202421466272,57.32822448372818,41.42711481068363,0.4,0.8422413106161435,0.002693305617572965,1.2562814070351758,0.9123894350756984,1.589554059682872e-05,2.5211408575483173e-11,0.01803117392579468,100.09854956261492,1.0977871171680793,1.123184262757415,1.6136972656050075e-05,2.5085103750156366e-11,0.006496992968161669,1.9074648716194463e-07,7.733910742371662e-13,99.87720232141452,1.224410043332631,0.12120229052685913,0.4103248174943938,32.0
S0001,L2,Roth,LOT2026000,D100-PE-035,Cu-ETP,0.500984365215211,PE,0.28108447559889793,0.8363613463595243,80.48878854765945,53.88726374662765,0.315,0.8362423712708552,0.005628660754120671,0.9900990099009901,6.742739987125149,1.7065388493756452e-05,2.3900471691049476e-11,0.019762050722892898,97.95228543433066,1.1555684871701988,1.0,1.718951322822089e-05,2.3228480885470765e-11,0.021935637451562684,2.0478466192507743e-07,8.170141507314843e-13,98.6085323579521,0.9397633110456224,0.8959810627266008,0.43499334740955964,22.733459307094485
S0002,L3,Nitra,LOT2026000,D100-PE-035,Cu-ETP,0.5019543037814214,PE,0.29814813841336746,0.8470038481710801,49.59621297422082,37.458187880600875,0.5,0.8474658733483866,0.005590817326039076,1.3227513227513228,6.343820748169766,1.658618607863038e-05,2.3003910248900362e-11,0.018184683665260114,99.84608325896413,1.1470504331160578,1.0,1.626225616090985e-05,2.3340246393126446e-11,0.017190556682568085,1.9903423294356456e-07,7.901173074670108e-13,99.95128049348862,1.3396533013942669,0.8333894999305341,0.4123471462440259,26.608283280851932
S0003,L1,Roth,LOT2026000,D100-PP-022,CuSn0.3,0.4015414002399042,PP,0.3868031539028379,0.6416268737533001,60.83238902123094,41.84146132655479,0.4,0.6420956994957023,0.0027178874590059313,1.2562814070351758,1.0149432505638063,2.403263075573293e-05,2.489972223857762e-11,0.0166199861490298,97.87428347123817,1.1536243295349988,1.0,2.3784190539624895e-05,2.5767758082727946e-11,0.018687914643000503,2.8839156906879515e-07,8.469916671573285e-13,97.42346164909482,1.2892812785389651,0.18989450539543065,0.5980527254526761,32.0
S0004,L2,Roth,LOT2026000,D100-PP-022,CuSn0.3,0.40216002071052603,PP,0.4130932782106681,0.6598197637533798,74.02147669171032,55.8159292049388,0.315,0.6603378827519994,0.005466535330715237,0.9900990099009901,6.457326650756614,2.310473263849702e-05,2.4228670667079267e-11,0.025791829612895133,102.10251192114933,1.1587785210691146,1.038543843115422,2.2879016500436846e-05,2.4373106584750666e-11,0.023984767503373992,2.7725679166196423e-07,7.99883904594672e-13,101.6292480019236,0.9607755472724591,1.1682386585779827,0.5750440055527548,20.98131062172539
S0005,L3,Nitra,LOT2026000,D100-PP-022,CuSn0.3,0.40290417032959847,PP,0.3465356150404171,0.6690204940780391,49.64312193134486,40.32853459551364,0.5,0.6688737186752435,0.005157117608102882,1.231527093596059,6.108856034851871,2.2432708873831645e-05,2.7415617735528794e-11,0.017208301981131352,100.77331621238142,1.1124825338595374,1.0,2.1973702179726004e-05,2.8038226266581662e-11,0.013937430805230206,2.6919250648597973e-07,9.224685320658638e-13,99.8414848383633,1.2215219182370463,1.053615145616678,0.5550670857552911,23.850070923296286
S0006,L1,Roth,LOT2026000,D100-FEP-035,CuAg0.1,0.4987370228045347,FEP,0.20820783387867312,0.8605596138677242,58.089009365765904,41.77383193119332,0.4,0.8611985447846168,0.002806432137097036,1.2562814070351758,1.2727554195840394,1.6044638599417003e-05,4.468870570465359e-11,0.015488377680200402,103.12253104845408,1.1257845382312885,1.0,1.6148560823970185e-05,4.477191617885425e-11,0.011212440974609625,1.9253566319300405e-07,1.4406611711396076e-12,102.82063635179964,1.2471331852835186,0.1639444978983208,0.42242094844355094,32.0
S0007,L2,Roth,LOT2026000,D100-FEP-035,CuAg0.1,0.49747777847996655,FEP,0.1844864114334534,0.8524120172062111,74.57880268466481,54.656814716295344,0.315,0.8517661406437025,0.0041889197046698235,0.9900990099009901,4.381483296640385,1.8036815054939198e-05,5.087855267758205e-11,0.02666045606353507,101.47919678513166,1.2422549264843346,1.0867301736655373,1.7987306035738213e-05,5.131962450713145e-11,0.026477412480841414,2.1644178065927038e-07,1.5045405357422496e-12,100.5298104721732,0.9647545028335098,0.5669663511299197,0.471390071988544,27.243505744409546
S0008,L3,Nitra,LOT2026000,D100-FEP-035,CuAg0.1,0.49751197187678664,FEP,0.21514976722070717,0.8401043158167371,46.91956418777879,36.43951824347112,0.5,0.8402101775804662,0.004364735527721136,1.2886597938144329,4.574932443548126,1.7211096060924635e-05,4.407671230574353e-11,0.0169378968769982,100.96630388108979,1.1794748660105432,1.0,1.687274277149971e-05,4.6691646326222536e-11,0.0205412312902888,2.065331527310956e-07,1.4223013691723059e-12,100.94844325389025,1.2655732634542096,0.6120248041367967,0.4413119299020648,28.892669249790558
S0009,L1,Roth,LOT2026000,D100-PE-050,Cu-ETP,0.6077529189367971,PE,0.41248409278964304,0.9893785794524047,57.055728298090145,42.159147406841086,0.4,0.9887334272058448,0.0026946282665493053,1.3550135501355014,0.8213449912167452,1.3364455561499664e-05,1.7507226108716213e-11,0.019155878751336845,100.4848228545863,1.126210469502239,1.0,1.3349238572847486e-05,1.7327827292077554e-11,0.01797534914020215,1.6037346673799598e-07,6.252167832614864e-13,100.20308968523193,1.329519513024492,0.09889010290360506,0.3373856597973569,32.0
S0010,L2,Roth,LOT2026000,D100-PE-050,Cu-ETP,0.59710746370616,PE,0.42942513879769356,0.9678069687972017,79.14257488523705,54.284011748792366,0.315,0.9678221405416946,0.005059553723801378,0.9900990099009901,5.843086204867761,1.4348139364169458e-05,1.6764179269146465e-11,0.01486321114778609,100.67095298746558,1.1901262394030894,1.0,1.4596802752118123e-05,1.734865410758387e-11,0.013716432218872525,1.721776723700335e-07,6.029253780743938e-13,101.72100237603105,0.9902181319566018,0.7262169049453558,0.3679569386229768,25.250148733019294
S0011,L3,Nitra,LOT2026000,D100-PE-050,Cu-ETP,0.5967182951243146,PE,0.3365633380898165,0.9834141465424742,48.270360429372694,38.449708176275266,0.5,0.983335510607262,0.00536652258684088,1.2562814070351758,6.301557183196853,1.4343422802465146e-05,2.1060070879482022e-11,0.019287917718793866,98.76913862351543,1.1664984992911032,1.0,1.4241795464640187e-05,2.0324897283079872e-11,0.010271076686150562,1.7212107362958176e-07,7.318021263844606e-13,98.7155790525826,1.2561164078390534,0.7341780445534997,0.36104667677931895,27.05576997094625
S0012,L1,Roth,LOT2026001,D100-PE-035,Cu-ETP,0.5023630757436806,PE,0.2702696908957101,0.8533037507316228,60.55465816122948,41.311143254922705,0.4,0.8534047235873595,0.002733381090257126,1.2562814070351758,1.215480966585667,1.6413572695394542e-05,2.7606510969002548e-11,0.02220565898409242,99.4177849216651,1.1311642757069464,1.1277387888391253,1.6462958167790572e-05,2.808380488659894e-11,0.019755733515399113,1.9696287234473452e-07,8.343857791063534e-13,99.80651538899262,1.2284968204448659,0.15611682429434076,0.4201095611351183,32.0
S0013,L2,Roth,LOT2026001,D100-PE-035,Cu-ETP,0.4980533308009343,PE,0.2672948109441404,0.8494511635818723,75.40306747755614,56.14805133610686,0.315,0.8496392632162949,0.005163272500871561,0.9900990099009901,5.992119949632323,1.7042564610266984e-05,2.4640299536095467e-11,0.01914190725046284,99.74200259446214,1.168233473828555,1.0,1.6828434842419768e-05,2.4058175935130153e-11,0.014443441333066347,2.0451077532320382e-07,8.39208986082864e-13,99.08904349874234,0.9800746834501488,0.7705000712754967,0.42664628054812404,24.56606615950804
S0014,L3,Nitra,LOT2026001,D100-PE-035,Cu-ETP,0.500730174967168,PE,0.256294709292895,0.8500727851631105,50.625051438253166,36.85132732577732,0.5,0.8495943561694259,0.005278761757274366,1.3736263736263736,6.445575747863892,1.6677185006822975e-05,2.8640686746603733e-11,0.020696801199360428,98.78224303881153,1.1382722757119346,1.1347150042257614,1.6537151734528192e-05,2.811530865496417e-11,0.025914757255428175,2.001262200818757e-07,8.572126914672951e-13,98.47245724897678,1.4310362712677271,0.8264322343041637,0.4219460786442717,27.161220269700657
S0015,L1,Roth,LOT2026001,D100-PP-022,CuSn0.3,0.3989581073612571,PP,0.3127825197057661,0.6585170210595723,62.63982843732801,44.493552839919566,0.4,0.6583337635064849,0.002682244340719315,1.4084507042253522,0.7990251982903818,2.290110528881047e-05,2.963176775882925e-11,0.025870512518866927,98.72151943148408,1.1016908370296574,1.0,2.2882929310248473e-05,2.8876413351033207e-11,0.02837218609494236,2.7481326346572565e-07,9.889530327648774e-13,98.68037693914904,1.4235256069400377,0.13858103478266523,0.5778420126031286,32.0
S0016,L2,Roth,LOT2026001,D100-PP-022,CuSn0.3,0.4006366992043036,PP,0.33671798937749886,0.6575881622457013,91.10250869131748,55.61511571524843,0.315,0.6579274206043328,0.004784329685577084,0.9900990099009901,5.359123256475616,2.4301032965359263e-05,2.8049939444692152e-11,0.023489652519139252,99.03622410390126,1.1776973708929148,1.0,2.434362378796831e-05,2.7758849653046205e-11,0.028855316300720128,2.916123955843112e-07,9.414981833407646e-13,98.61847423835731,0.9803283695253426,0.9429538197455978,0.6129510555131923,22.752279143691737
S0017,L3,Nitra,LOT2026001,D100-PP-022,CuSn0.3,0.39990105992292996,PP,0.31171107803467624,0.6578937489041325,54.31913707386924,36.984288415178625,0.5,0.6573095371370157,0.005944212020965913,1.4705882352941175,6.641511140702163,2.2964889210407762e-05,2.970376402170407e-11,0.02708122584458148,98.3006663457199,1.102649638765306,1.0,2.3386594319110048e-05,3.120540270726071e-11,0.02881248888456896,2.7557867052489316e-07,9.91112920651122e-13,97.87810554901142,1.4662100731929293,1.1547027439481634,0.5915766469222036,24.424423988427392
